iter	Passed	Remaining
399	40406	80813
400	40512	80722
401	40661	80716
402	40782	80654
403	40885	80556
404	40994	80471
405	41108	80393
406	41223	80319
407	41350	80268
408	41517	80293
409	41647	80247
410	41806	80256
411	41941	80217
412	42035	80102
413	42130	79987
414	42220	79862
415	42314	79745
416	42404	79623
417	42507	79523
418	42610	79425
419	42700	79300
420	42791	79180
421	42878	79050
422	42968	78928
423	43056	78800
424	43148	78682
425	43238	78560
426	43325	78431
427	43417	78314
428	43505	78187
429	43611	78095
430	43732	78028
431	43823	77909
432	43915	77790
433	44002	77663
434	44090	77537
435	44182	77420
436	44275	77305
437	44379	77208
438	44477	77100
439	44563	76973
440	44657	76858
441	44744	76734
442	44868	76671
443	44961	76555
444	45045	76425
445	45143	76318
446	45231	76196
447	45323	76078
448	45450	76021
449	45543	75906
450	45665	75839
451	45786	75771
452	45876	75650
453	45993	75575
454	46085	75458
455	46172	75334
456	46269	75225
457	46356	75102
458	46443	74977
459	46538	74865
460	46632	74753
461	46733	74652
462	46864	74598
463	46972	74508
464	47080	74417
465	47184	74321
466	47272	74197
467	47362	74079
468	47458	73970
469	47560	73870
470	47658	73764
471	47757	73659
472	47878	73588
473	47968	73470
474	48055	73347
475	48148	73234
476	48245	73127
477	48347	73026
478	48433	72903
479	48526	72789
480	48655	72730
481	48751	72621
482	48869	72545
483	48966	72438
484	49065	72333
485	49166	72231
486	49263	72125
487	49366	72026
488	49465	71922
489	49560	71811
490	49651	71696
491	49741	71579
492	49846	71483
493	49955	71394
494	50047	71280
495	50136	71161
496	50232	71052
497	50317	70928
498	50406	70811
499	50507	70710
500	50606	70606
501	50719	70521
502	50817	70417
503	50904	70297
504	50991	70176
505	51082	70061
506	51182	69960
507	51280	69854
508	51379	69751
509	51487	69659
510	51632	69617
511	51782	69582
512	51882	69480
513	51981	69376
514	52080	69272
515	52173	69160
516	52267	69049
517	52359	68936
518	52445	68816
519	52540	68706
520	52645	68610
521	52733	68493
522	52844	68405
523	52947	68306
524	53042	68197
525	53150	68105
526	53249	68001
527	53348	67897
528	53455	67804
529	53544	67688
530	53646	67588
531	53746	67485
532	53840	67376
533	53959	67298
534	54072	67211
535	54194	67136
536	54302	67043
537	54441	66989
538	54549	66896
539	54643	66786
540	54739	66678
541	54851	66590
542	54949	66486
543	55078	66418
544	55179	66316
545	55264	66195
546	55357	66085
547	55443	65965
548	55640	65977
549	55841	65994
550	55957	65909
551	56084	65838
552	56275	65841
553	56396	65762
554	56514	65679
555	56674	65644
556	56788	65556
557	56906	65472
558	57017	65380
559	57116	65275
560	57205	65159
561	57308	65058
562	57438	64988
563	57546	64892
564	57639	64780
565	57747	64685
566	57872	64608
567	57975	64508
568	58082	64411
569	58177	64301
570	58298	64219
571	58400	64118
572	58543	64061
573	58644	63957
574	58754	63863
