iter	MultiClass
0	0.9624589718
1	0.849668818
2	0.7602284526
3	0.6845192424
4	0.6206967684
5	0.5637803068
6	0.5175012184
7	0.4768853357
8	0.4390313483
9	0.405773443
10	0.3762305539
11	0.3477756166
12	0.3234023035
13	0.2999787431
14	0.2766390186
15	0.2571941097
16	0.239859762
17	0.2244305189
18	0.2121902965
19	0.2012288081
20	0.18940015
21	0.1806101164
22	0.1730728357
23	0.1636553017
24	0.1546665592
25	0.1476294514
26	0.1410997437
27	0.1340575434
28	0.1265309755
29	0.1209009058
30	0.1175608992
31	0.1132286296
32	0.1080369108
33	0.1037154698
34	0.1001613162
35	0.09643589076
36	0.09192614122
37	0.08756677628
38	0.08409409644
39	0.08200081867
40	0.07833583823
41	0.0762112814
42	0.07292120792
43	0.07075178329
44	0.0682605967
45	0.06687679488
46	0.06438145619
47	0.06349262594
48	0.06189148717
49	0.06091799857
50	0.05912398658
51	0.05790507055
52	0.05754110256
53	0.05679910344
54	0.05581764311
55	0.05523260533
56	0.05467397964
57	0.05367514179
58	0.05335235473
59	0.05293709925
60	0.05184165676
61	0.0510037016
62	0.05068796287
63	0.05015969788
64	0.04881677088
65	0.04849144219
66	0.04796079739
67	0.04743742579
68	0.04653502238
69	0.04594665126
70	0.04583747676
71	0.04572247933
72	0.0455548057
73	0.04541923369
74	0.04533507415
75	0.04517235341
76	0.0450487339
77	0.04492047331
78	0.04488780763
79	0.04469969217
80	0.04368299734
81	0.04295940249
82	0.04251794206
83	0.04214761482
84	0.04160370767
85	0.04061508775
86	0.04024182097
87	0.0401432364
88	0.03964546193
89	0.03942559617
90	0.03906173299
91	0.03872391419
92	0.03814438171
93	0.03788501681
94	0.03785118041
95	0.03769147135
96	0.03764853001
97	0.03711975181
98	0.03691067908
99	0.03664868138
100	0.03662776358
101	0.03646789111
102	0.03609690848
103	0.03589730261
104	0.03562532706
105	0.03558761671
106	0.03543966207
107	0.03520172411
108	0.03516894334
109	0.03516418875
110	0.03515998838
111	0.03477765553
112	0.0343778334
113	0.03429153742
114	0.03406541121
115	0.03390060155
116	0.03373220039
117	0.03364085569
118	0.03326668097
119	0.03286924141
120	0.03248244438
121	0.03246708715
122	0.03206971158
123	0.03193612925
124	0.03191649805
125	0.03167349363
126	0.03159290973
127	0.03144195966
128	0.03110397367
129	0.03103174366
130	0.03102651808
131	0.03101579518
132	0.03095988845
133	0.03067897057
134	0.03061704111
135	0.03061015197
136	0.03040639748
137	0.03031171844
138	0.03016912766
139	0.02987087355
140	0.02968786397
141	0.02964432096
142	0.02954303982
143	0.0293358472
144	0.02933041931
145	0.02932308981
146	0.02907405003
147	0.02898269434
148	0.0289016962
149	0.02870751681
150	0.02861551078
151	0.02857836174
152	0.02855915424
153	0.02837633378
154	0.0283063587
155	0.02829914608
156	0.02826535951
157	0.028242013
158	0.0280871968
159	0.0279825803
160	0.02776769548
161	0.02768195278
162	0.02753224164
